City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Kununurra,AU,-15.77,128.73,82.4,88,52,10.4,broken clouds
255,Frontera,MX,26.93,-101.45,78.4,41,4,6.73,clear sky
256,Leh,IN,34.17,77.58,8.85,64,0,1.66,clear sky
257,Bubaque,GW,11.28,-15.83,83.34,59,0,11.63,clear sky
258,Huarmey,PE,-10.07,-78.15,68.97,71,25,8.52,scattered clouds
259,Stephenville,US,32.22,-98.2,60.8,41,40,8.05,scattered clouds
260,Swift Current,CA,50.28,-107.8,37.4,69,1,19.46,clear sky
261,Georgetown,MY,5.41,100.34,77.0,94,20,3.36,few clouds
262,Podporozhye,RU,60.91,34.17,30.99,96,96,9.89,overcast clouds
263,Tiznit,MA,29.58,-9.5,54.19,85,54,12.33,light rain
264,Minab,IR,27.15,57.08,68.0,64,90,4.7,overcast clouds
265,Shubarkuduk,KZ,49.14,56.49,15.17,97,76,6.87,broken clouds
266,Souillac,MU,-20.52,57.52,75.2,83,75,11.41,shower rain
267,Manono,CD,-7.3,27.42,70.3,94,35,0.74,scattered clouds
268,Nara,JP,34.69,135.8,53.01,76,20,4.7,few clouds
269,Bharthana,IN,26.76,79.22,61.57,42,0,5.44,clear sky
270,Vila Franca Do Campo,PT,37.72,-25.43,57.2,76,75,17.22,light intensity shower rain
271,Beloha,MG,-25.17,45.05,74.77,77,100,7.27,overcast clouds
272,Bontang,ID,0.13,117.5,75.6,90,100,7.85,moderate rain
273,Saint Anthony,US,45.02,-93.22,37.0,51,1,13.87,clear sky
274,Kars,TR,40.6,43.09,17.6,78,0,2.24,clear sky
275,Bang Saphan,TH,11.21,99.51,78.58,79,99,9.46,overcast clouds
276,Nusaybin,TR,37.08,41.22,55.4,71,40,11.41,scattered clouds
277,Soyo,AO,-6.13,12.37,78.57,85,94,5.82,overcast clouds
278,Mount Gambier,AU,-37.83,140.77,62.6,72,40,5.82,light rain
279,Nam Som,TH,17.77,102.19,64.58,84,5,1.16,clear sky
280,Nassau,US,40.75,-73.58,59.0,66,44,10.6,scattered clouds
281,Kijang,KR,35.24,129.21,37.4,51,0,11.41,clear sky
282,Blythe,US,33.61,-114.6,66.2,12,1,14.99,clear sky
283,Cedar City,US,37.68,-113.06,37.4,34,1,9.17,clear sky
284,Puerto Escondido,MX,15.85,-97.07,86.0,66,20,9.17,few clouds
285,Airai,TL,-8.93,125.41,63.73,85,96,2.08,overcast clouds
286,Aklavik,CA,68.22,-135.01,5.0,84,90,4.7,overcast clouds
287,Champerico,GT,14.3,-91.92,91.4,59,75,9.17,thunderstorm
288,Balikpapan,ID,-1.27,116.83,75.2,91,99,6.13,overcast clouds
289,Ayaviri,PE,-14.89,-70.59,44.62,75,97,4.56,moderate rain
290,Kautokeino,NO,69.01,23.04,22.87,93,10,9.15,clear sky
291,Usinsk,RU,65.99,57.53,9.97,96,56,5.91,broken clouds
292,Baiyin,CN,36.56,104.21,30.0,72,100,2.24,overcast clouds
293,Codrington,AU,-38.27,141.97,63.54,69,100,3.29,light rain
294,Abonnema,NG,4.71,6.79,77.47,88,0,5.48,clear sky
295,Ponta Delgada,PT,37.73,-25.67,57.2,76,75,17.22,light intensity shower rain
296,Simao,CN,22.79,100.97,52.88,92,60,1.83,broken clouds
297,Cabrobo,BR,-8.51,-39.31,84.9,44,97,15.28,overcast clouds
298,Yerbogachen,RU,61.28,108.01,-9.99,90,78,2.55,broken clouds
299,Yendi,GH,9.44,-0.01,86.29,44,66,4.41,broken clouds
300,Port-Cartier,CA,50.03,-66.87,33.01,96,91,1.12,overcast clouds
301,Ayan,RU,56.45,138.17,10.29,84,100,18.01,overcast clouds
302,Porbandar,IN,21.64,69.61,71.76,48,0,14.76,clear sky
303,Tshikapa,CD,-6.42,20.8,71.71,92,100,2.26,overcast clouds
304,Valdemarpils,LV,57.37,22.59,37.4,86,75,12.75,broken clouds
